sport_id,label,direct_med_dist,via_stop_dist,nearest_stop_dist
2597725051.0,red,,,
2597725052.0,red,,,
2597725053.0,red,,,
2597725054.0,red,,,
2597725055.0,red,,,
2597725057.0,red,,1021.5859394275092,169.75436363604962
2597725058.0,red,,2097.491864948594,220.5727241882025
2597725059.0,red,,,
2597725060.0,red,,,
2597725061.0,red,,,
2597725062.0,red,,,
2597725063.0,red,,,
2597725065.0,red,,,
2597725066.0,red,,,
2597725067.0,red,,,
2597725068.0,red,,,
2597725070.0,red,,,
2597725071.0,red,,,
2597725072.0,red,,,
2597725073.0,red,,2860.629813872148,247.3240720233913
2597725074.0,red,,,
2597725075.0,red,,,
2597725076.0,red,,,
2597725077.0,red,,,
2597725078.0,red,,,
2597725079.0,red,,,
2597725080.0,red,,1021.5859394275092,150.57698027125622
2597725081.0,red,,,
2597725082.0,red,,,
2597725083.0,red,,,
2597725084.0,red,,,
2597725085.0,red,,,
2598107437.0,red,,,
2598107438.0,red,,,
2598107440.0,red,,,
2598126643.0,red,,,
2598126644.0,red,,,
2598152467.0,red,,,
2598152468.0,red,,,
2598152470.0,red,,,
2598152472.0,red,,,
2598152473.0,red,,,
2598152475.0,red,,,
2598152476.0,red,,,
2598152477.0,red,,,
2598152478.0,red,,,
2598152479.0,red,,,
2598152481.0,red,,,
2598152482.0,red,,,
2598152483.0,red,,,
2598152484.0,red,,,
2598152486.0,red,,,
2598152488.0,red,,,
2598152490.0,red,,,
2598152491.0,red,,,
2598152492.0,red,,,
2598152493.0,red,,,
2598152494.0,red,,,
2598152495.0,red,,,
2598152497.0,red,,,
2598152498.0,red,,,
2598152499.0,red,,,
2598152501.0,red,,,
2598152504.0,red,,,
2598152507.0,red,,,
2598152508.0,red,,,
2598152509.0,red,,,
2598152511.0,red,,,
2598152512.0,red,,,
2598152514.0,red,,,
2598152516.0,red,,,
2598152517.0,red,,,
2598152518.0,red,,,
2598152519.0,red,,,
2598152520.0,red,,,
2598152521.0,red,,,
2598152522.0,red,,,
2598152524.0,red,,,
2598152525.0,red,,,
2598152526.0,red,,,
2598152527.0,red,,,
2598152528.0,red,,,
2598152529.0,red,,,
2598152530.0,red,,,
2598152531.0,red,,,
2598152532.0,red,,,
2598152533.0,red,,,
2598152534.0,red,,,
2598152535.0,red,,,
2598152538.0,red,,,
2598152539.0,red,,,
2598152540.0,red,,,
2598152541.0,red,,,
2598152542.0,red,,,
2598152543.0,red,,,
2598152544.0,red,,,
2598152545.0,red,,,
2598152546.0,red,,,
2598152547.0,red,,,
2598152548.0,red,,,
2598178047.0,red,,,
2598178048.0,red,,,
2598262364.0,green,107.27703283058736,,
2598262367.0,red,,,
2598262368.0,red,,,
2598262369.0,red,,,
2598267270.0,red,,,
2598267271.0,red,,,
2598267272.0,red,,,
2598267273.0,red,,,
2598267274.0,red,,,
2598267275.0,red,,,
2598267276.0,red,,,
2598267277.0,red,,,
2598267278.0,red,,,
2598267279.0,red,,,
2598267281.0,red,,,
2598267282.0,red,,,
2598267283.0,red,,,
2598267284.0,red,,,
2598267285.0,red,,,
2598267286.0,red,,,
2598267287.0,red,,,
2598267288.0,red,,,
2598267289.0,red,,,
2598267291.0,red,,,
2598267292.0,red,,,
2598267293.0,red,,,
2598267295.0,red,,,
2598267296.0,red,,,
2598267297.0,red,,,
2598267298.0,red,,,
2598267299.0,red,,,
2598267300.0,red,,,
2598267301.0,red,,,
2598267302.0,red,,,
2598267303.0,red,,,
2598267304.0,red,,,
2598267305.0,red,,,
2598267306.0,red,,,
2598317834.0,red,,,
2598317835.0,red,,,
2598317836.0,red,,,
2598317837.0,red,,,
2598317838.0,red,,,
2598317839.0,red,,,
2598656736.0,red,,,
2598656739.0,red,,,
2598656740.0,red,,,
2598656742.0,red,,,
2598656743.0,red,,,
2598656744.0,red,,,
2598656748.0,red,,,
2598656749.0,red,,,
2598656751.0,red,,,
2598656752.0,red,,,
2598656754.0,red,,,
2600353271.0,red,,,
2601364077.0,red,,,
